Date,Open,High,Low,Close,Volume
9-Dec-15,771.10,776.09,752.01,762.55,2327471
8-Dec-15,764.50,778.65,762.52,775.14,1554121
7-Dec-15,780.06,781.00,766.72,772.99,1831287
4-Dec-15,769.71,782.42,765.51,779.21,2489998
3-Dec-15,780.56,784.48,762.45,768.20,2097494
2-Dec-15,785.25,793.05,776.43,777.85,2343841
1-Dec-15,766.94,785.00,765.95,783.79,2019864
30-Nov-15,771.87,775.03,761.12,762.85,1679349
27-Nov-15,769.16,774.00,767.00,771.97,722320
25-Nov-15,771.69,773.00,766.53,769.26,1180643
24-Nov-15,772.96,775.99,758.11,769.63,2394010
23-Nov-15,777.47,782.90,773.51,776.70,1732400
20-Nov-15,769.30,779.32,764.10,777.00,2773944
19-Nov-15,759.78,763.23,757.23,759.94,1403913
18-Nov-15,749.57,761.10,747.39,760.01,1813336
17-Nov-15,752.47,754.95,744.05,745.98,1943156
16-Nov-15,740.21,751.71,734.33,750.42,2535198
13-Nov-15,754.04,755.33,739.47,740.07,2409363
12-Nov-15,760.18,765.80,755.86,756.53,1772555
11-Nov-15,762.38,769.08,759.75,765.25,2095922
10-Nov-15,753.48,760.60,748.41,758.26,1489929
9-Nov-15,758.52,763.30,749.11,754.77,1776861
6-Nov-15,759.39,763.02,755.03,761.60,1677199
5-Nov-15,758.81,766.35,757.47,760.67,2274314
4-Nov-15,749.90,759.90,749.20,755.31,2091999
3-Nov-15,745.43,751.70,741.16,748.82,1815300
2-Nov-15,734.53,748.18,731.45,747.74,1995708
30-Oct-15,745.56,746.31,736.53,737.39,1999161
29-Oct-15,736.63,746.79,735.16,744.85,1825957
28-Oct-15,733.00,737.37,727.27,736.92,1980154
27-Oct-15,726.57,735.96,724.14,732.82,1938916
26-Oct-15,720.02,734.95,720.02,731.12,2438847
23-Oct-15,750.06,752.50,717.94,719.33,6336319
22-Oct-15,675.44,688.05,671.70,681.14,4431595
21-Oct-15,683.21,684.90,670.70,671.80,1608436
20-Oct-15,697.89,698.00,673.68,680.00,2621719
19-Oct-15,694.00,700.24,692.21,699.95,1508585
16-Oct-15,695.40,696.22,689.10,695.32,1815759
15-Oct-15,685.25,694.16,684.39,693.02,2357829
